SN_Number,影片名稱,年份,集數,觀看人數,網址
111262,快盜戰隊魯邦連者 VS 警察戰隊巡邏連者 en film,2018/08,第1集,7.2萬,https://ani.gamer.com.tw/animeRef.php?sn=111262
101806,K Seven Stories SIDE:BLUE ～猶如天狼～,2018/08,第1集,8279,https://ani.gamer.com.tw/animeRef.php?sn=101806
95427,付喪神出租中！,2018/07,第12集,5469,https://ani.gamer.com.tw/animeRef.php?sn=95427
89557,進擊的巨人 第三季,2018/07,第23集,4.8萬,https://ani.gamer.com.tw/animeRef.php?sn=89557
112641,炎神戰隊轟音者 10 YEARS GRANDPRIX,2018/07,第1集,11萬,https://ani.gamer.com.tw/animeRef.php?sn=112641
95727,紅蓮之王,2018/07,第12集,1074.1萬,https://ani.gamer.com.tw/animeRef.php?sn=95727
96391,OVERLORD 第三季,2018/07,第13集,1333,https://ani.gamer.com.tw/animeRef.php?sn=96391
95889,Angolmois 元寇合戰記,2018/07,第12集,27.6萬,https://ani.gamer.com.tw/animeRef.php?sn=95889
96004,暮光幻影,2018/07,第12集,146.9萬,https://ani.gamer.com.tw/animeRef.php?sn=96004
94989,京都寺町三條商店街的福爾摩斯,2018/07,第12集,9.9萬,https://ani.gamer.com.tw/animeRef.php?sn=94989
93688,遊戲 3 人娘,2018/07,第12集,35.1萬,https://ani.gamer.com.tw/animeRef.php?sn=93688
112433,闇芝居 第六季,2018/07,第13集,61.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112433
103658,K Seven Stories The・偶像 K,2018/07,第1集,400.7萬,https://ani.gamer.com.tw/animeRef.php?sn=103658
101140,K Seven Stories R:B ～BLAZE～,2018/07,第1集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=101140
97084,超人力霸王 R/B,2018/07,第25集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=97084
93488,工作細胞,2018/07,第14集,8.8萬,https://ani.gamer.com.tw/animeRef.php?sn=93488
98233,音樂少女,2018/07,第12集,3.8萬,https://ani.gamer.com.tw/animeRef.php?sn=98233
90508,遙的接球,2018/07,第12集,542.4萬,https://ani.gamer.com.tw/animeRef.php?sn=90508
112619,夢王國與沉睡中的 100 位王子殿下,2018/07,第12集,19.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112619
95582,異世界魔王與召喚少女的奴隸魔術,2018/07,第12集,71.8萬,https://ani.gamer.com.tw/animeRef.php?sn=95582
95426,中間管理錄利根川,2018/07,第24集,1.3萬,https://ani.gamer.com.tw/animeRef.php?sn=95426
89239,前進吧！登山少女 第三季,2018/07,第13集,114.6萬,https://ani.gamer.com.tw/animeRef.php?sn=89239
93827,羽球戰爭！,2018/07,第13集,22.3萬,https://ani.gamer.com.tw/animeRef.php?sn=93827
112639,宇宙戰隊九連者 VS SPACE SQUAD,2018/06,第1集,20.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112639
98322,UQ HOLDER！悠久持有者！夏凜前輩不可告人的祕密,2018/06,第1集,13.1萬,https://ani.gamer.com.tw/animeRef.php?sn=98322
95127,卡片戰鬥！！先導者,2018/05,第51集,1283,https://ani.gamer.com.tw/animeRef.php?sn=95127
80232,驚爆危機 Invisible Victory,2018/04,第12集,11.5萬,https://ani.gamer.com.tw/animeRef.php?sn=80232
93824,最終休止符,2018/04,第12集,14.6萬,https://ani.gamer.com.tw/animeRef.php?sn=93824
85719,惡魔高校 D×D HERO,2018/04,第13集,97.6萬,https://ani.gamer.com.tw/animeRef.php?sn=85719
90713,黃金神威,2018/04,第12集,75.8萬,https://ani.gamer.com.tw/animeRef.php?sn=90713
94636,溫泉屋小女將,2018/04,第24集,104萬,https://ani.gamer.com.tw/animeRef.php?sn=94636
93033,食戟之靈 餐之皿 遠月列車篇,2018/04,第12集,199.3萬,https://ani.gamer.com.tw/animeRef.php?sn=93033
112601,棒球大聯盟 2nd,2018/04,第25集,3.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112601
92527,劇場版 吸血鬼僕人 -Alice in the Garden-,2018/04,第1集,51.3萬,https://ani.gamer.com.tw/animeRef.php?sn=92527
92526,藍海少女 第二季,2018/04,第12集,10萬,https://ani.gamer.com.tw/animeRef.php?sn=92526
91868,刀劍神域外傳 Gun Gale Online,2018/04,第12集,6.1萬,https://ani.gamer.com.tw/animeRef.php?sn=91868
91866,我的英雄學院 第三季,2018/04,第25集,11.3萬,https://ani.gamer.com.tw/animeRef.php?sn=91866
107784,香蕉怪大叔 呐呐~呐,2018/04,第24集,425.2萬,https://ani.gamer.com.tw/animeRef.php?sn=107784
93570,錢進球場,2018/04,第12集,184.2萬,https://ani.gamer.com.tw/animeRef.php?sn=93570
